VEHICLE_CLASS,ENGINE_SIZE_L_,FuelConsCity,FuelConsHwy,CityMPG,HwyMPG,CO2
MID-SIZE,3.5,9.9,6.4,29,44,191
SUV - SMALL,3.5,11.8,8.3,24,34,235
SUV - SMALL,3.5,11.2,7.7,25,37,221
FULL-SIZE,3.5,12.2,7.9,23,36,237
FULL-SIZE,3.7,11.6,7.6,24,37,225
SUV - STAND,3.5,13.2,8.8,21,32,258
SUV - STAND,2,10.1,7.1,28,40,202
SUV - STAND,3.7,12.5,8.4,23,34,246
SUV - SMALL,3.7,12.2,8.8,23,32,244
MID-SIZE,2,9.2,5.9,31,48,177
MID-SIZE,3.7,11.6,7.8,24,36,228
MID-SIZE,2,5.1,5.3,55,53,120
SUV - STAND,5.4,16.4,11.3,17,25,324
SUV - SMALL,2,7.7,6.1,37,46,159
SUV - SMALL,2,7.8,5.7,36,50,156
SUV - SMALL,2.5,8.3,6.2,34,46,168
SUV - SMALL,2,8,6.4,35,44,168
SUV - SMALL,2.5,8.5,6.6,33,43,177
SUV - SMALL,3.7,12.7,8.4,22,34,248
SUV - SMALL,3.7,12.7,9,22,31,255
COMPACT,1.5,7.1,5.8,40,49,150
COMPACT,1.5,6.8,5.6,42,50,145
COMPACT,2,6.7,4.7,42,60,133
COMPACT,2,6.8,4.8,42,59,136
COMPACT,2.5,7.2,5.1,39,55,143
COMPACT,2.5,7.1,5,40,56,143
COMPACT,2,6.8,4.8,42,59,136
MID-SIZE,2,6.8,4.9,42,58,136
MID-SIZE,2,7,4.9,40,58,138
MID-SIZE,2.5,7.5,5.4,38,52,152
MID-SIZE,2.5,7,5,40,56,140
MID-SIZE,2,7,4.9,40,58,138
MINIVAN,2.5,9.5,6.7,30,42,189
MINIVAN,2.5,9.7,6.8,29,42,193
MID-SIZE,2.5,7.6,5.1,37,55,150
MID-SIZE,2.5,8.1,5.3,35,53,159
MID-SIZE,2.5,7.2,4.9,39,58,140
COMPACT,2,7.9,5.8,36,49,161
COMPACT,2,8.3,5.7,34,50,163
COMPACT,2.4,9.2,6.9,31,41,189
STATION WAG,2,8.3,6.1,34,46,168
STATION WAG,2,8.5,5.9,33,48,168
COMPACT,1.2,5.3,4.4,53,64,113
COMPACT,1.2,5.9,4.6,48,61,122
SUV - SMALL,2.4,8.2,6.3,34,45,168
SUV - SMALL,2.4,8.6,6.8,33,42,179
SUV - SMALL,2,8.3,6.4,34,44,172
SUV - SMALL,2,8.6,6.3,33,45,175
SUV - SMALL,2,8.5,6.7,33,42,177
MID-SIZE,2.5,7.5,5.1,38,55,147
MID-SIZE,3.5,9.4,6.2,30,46,184
SUV - STAND,5.6,17.3,11.4,16,25,338
PICKUP TRUC,2.5,12.2,9,23,31,246
PICKUP TRUC,2.5,10.8,8.6,26,33,225
PICKUP TRUC,4,13.1,8.6,22,33,253
PICKUP TRUC,4,14.1,9.5,20,30,276
PICKUP TRUC,4,13.2,9.3,21,30,262
SUV - SMALL,3.5,11.7,8.5,24,33,235
VAN - CARGO,2,8.7,7.1,32,40,184
SUV - STAND,2.5,7.8,7.1,36,40,170
MINIVAN,3.5,11,8,26,35,221
SUV - SMALL,2.5,7.9,6,36,47,163
SUV - SMALL,2.5,8.2,6.2,34,46,168
MID-SIZE,1.8,6.6,5,43,56,136
MID-SIZE,1.8,7.5,5.5,38,51,152
PICKUP TRUC,5.6,16.1,10.9,18,26,317
PICKUP TRUC,5.6,17.8,12.2,16,23,350
COMPACT,1.6,6.1,4.8,46,59,126
COMPACT,1.6,7.4,5.4,38,52,150
SUV - SMALL,4,14.4,10.1,20,28,288
SUV - SMALL,4,13.6,10.1,21,28,276
PICKUP TRUC,5.7,15.4,10.2,18,28,301
PICKUP TRUC,5.7,14.1,9.2,20,31,274
PICKUP TRUC,3.6,12.4,8,23,35,239
PICKUP TRUC,3.6,11.4,7.8,25,36,225
PICKUP TRUC,5.7,15.8,10.8,18,26,313
PICKUP TRUC,5.7,14.6,9.8,19,29,285
PICKUP TRUC,3.6,13,8.5,22,33,253
VAN - CARGO,3.6,11.8,7.7,24,37,230
MINICOMPACT,1.3,5.5,4.7,51,60,117
COMPACT,2.5,8.9,6.3,32,45,179
COMPACT,2.5,8.9,6.4,32,44,179
STATION WAG,2.4,9.5,7.2,30,39,196
STATION WAG,2.4,9.5,7.2,30,39,193
SUBCOMPACT,1.8,7.6,5.9,37,48,156
SUBCOMPACT,1.8,7.4,5.9,38,48,154
SUV - SMALL,2.5,8.3,6.2,34,46,170
SUV - SMALL,2.5,9.5,7,30,40,193
COMPACT,2.5,7.5,5.5,38,51,152
COMPACT,2.5,8.3,5.9,34,48,166
STATION WAG,2.5,7.5,5.5,38,51,152
STATION WAG,2.5,8.3,5.9,34,48,166
MID-SIZE,2.5,8.4,6.1,34,46,170
MID-SIZE,2.5,9.9,6.9,29,41,196
MID-SIZE,3.6,11.8,8,24,35,232
SUV - SMALL,2.5,8.6,6.5,33,43,177
SUV - SMALL,2.5,9.4,7.1,30,40,193
SUV - SMALL,3.6,11.9,8.2,24,34,235
SUV - SMALL,3.6,13.1,9.4,22,30,262
SUV - SMALL,2,8.2,6,34,47,166
SUV - SMALL,2,8.9,6.7,32,42,182
SUV - SMALL,2,6.9,6,41,47,150
